nombre,urls
Act 1: Chapter 57: Vs Octavio,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-57-vs-octavio
Act 1: Chapter 58: 《Evil God Apostle; Notes》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-58-evil-god-apostle-notes
Act 1: Chapter 59: 《Human Sacrificial Altar》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-59-human-sacrificial-altar
Act 1: Chapter 60: Caster of The Barrier,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-60-caster-of-the-barrier
Act 1: Chapter 61: 《JinMaRyuu》's Power,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-61-jinmaryuus-power
Act 1: Chapter 62: 《God of Fear; Zorophilia》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-62-god-of-fear-zorophilia
Act 1: Chapter 63: 《Dream Heart》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-63-dream-heart
Act 1: Chapter 64: 《Dream Sand》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-64-dream-sand
Act 1: Chapter 65: Stray Little Girl,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-65-stray-little-girl
Act 1: Chapter 66: Pomera's Story,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-66-pomeras-story
Act 1: Chapter 67: Observation Diary of A Certain God(Side : Nyarlhotep),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-67-observation-diary-of-a-certain-godside-nyarlhotep
"Act 2: Chapter 1: To City of Magic, Manarak",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-1-to-city-of-magic-manarak
Act 2: Chapter 2: Fang Ape's Attack,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-2-fang-apes-attack
"Act 2: Chapter 3: Shadow Spider, Ragno",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-3-shadow-spider-ragno
Act 2: Chapter 4: Philia,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-4-philia
"Act 2: Chapter 5: Magic City, Manarak",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-5-magic-city-manarak
Act 2: Chapter 6: Miracle Drug's Ingredients,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-6-miracle-drugs-ingredients
Act 2: Chapter 7: 《Witch Ring》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-7-witch-ring
Act 2: Chapter 8: Black Robe's Magician,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-8-black-robes-magician
Act 2: Chapter 9: Reunion?,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-9-reunion
Act 2: Chapter 10: 《Mithril's Cane》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-10-mithrils-cane
Act 2: Chapter 11: Sticking Out Like a Sore Thumb,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-11-sticking-out-like-a-sore-thumb
Act 2: Chapter 12: Gannet the Magician,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-12-gannet-the-magician
Act 2: Chapter 13: Pass,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-13-pass
Act 2: Chapter 14: Exploring 《Mithril's Cane》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-14-exploring-mithrils-cane
Act 2: Chapter 15: 《Manarak Steel》's Price,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-15-manarak-steels-price
Act 2: Chapter 16: Substitute,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-16-substitute
Act 2: Chapter 17: Lich's Impatience（side:Lunaire）,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-17-lichs-impatiencesidelunaire
Act 2: Chapter 18: Philia's Registration Card,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-18-philias-registration-card
Act 2: Chapter 19: Ragno's Subjugation Commission,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-19-ragnos-subjugation-commission
Act 2: Chapter 20: 《Rosemonde of Extermination》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-20-rosemonde-of-extermination
Act 2: Chapter 21: 《Ground Detonation》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-21-ground-detonation
Act 2: Chapter 22: 《Anxious Face》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-22-anxious-face
Act 2: Chapter 23: Spider Hunting,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-23-spider-hunting
